"","quarter","Unemp","CPI","r"
"134",1993-07-01,6.9,0.485606226554047,3.00333333333333
"135",1993-10-01,6.8,0.75836282100985,3.06
"136",1994-01-01,6.6,0.479617226349305,3.24333333333333
"137",1994-04-01,6.4,0.613289826869767,3.98666666666667
"138",1994-07-01,6.1,0.811912443850371,4.47666666666667
"139",1994-10-01,5.8,0.671594196543701,5.28
"140",1995-01-01,5.6,0.733581149021312,5.73666666666667
"141",1995-04-01,5.8,0.860078077259985,5.59666666666667
"142",1995-07-01,5.7,0.525625388882656,5.36666666666667
"143",1995-10-01,5.5,0.588044817689504,5.26
"144",1996-01-01,5.6,0.778719055176857,4.93
"145",1996-04-01,5.6,0.900906994236639,5.02
"146",1996-07-01,5.5,0.57489778269213,5.09666666666667
"147",1996-10-01,5.2,0.761424998524607,4.97666666666667
"148",1997-01-01,5.3,0.755671102256095,5.06
"149",1997-04-01,5.1,0.313185348379363,5.04666666666667
"150",1997-07-01,4.9,0.312207559250588,5.04666666666667
"151",1997-10-01,4.7,0.68344472302968,5.09
"152",1998-01-01,4.6,0.309119256967261,5.05333333333333
"153",1998-04-01,4.3,0.123380644892901,4.97666666666667
"154",1998-07-01,4.5,0.614630084869372,4.82333333333333
"155",1998-10-01,4.5,0.42800432197776,4.25333333333333
"156",1999-01-01,4.3,0.486915143381061,4.40666666666667
"157",1999-04-01,4.3,0.725956001280448,4.45333333333333
"158",1999-07-01,4.3,0.481059256034921,4.65
"159",1999-10-01,4.1,0.836325065782173,5.04333333333333
"160",2000-01-01,4,0.711324872451957,5.52
"161",2000-04-01,3.8,0.94063009824561,5.71333333333333
"162",2000-07-01,4,1.04773950310868,6.01666666666667
"163",2000-10-01,3.9,0.692443620760486,6.01666666666667
"164",2001-01-01,4.2,0.972825984077907,4.81666666666667
"165",2001-04-01,4.4,0.454546237167452,3.66
"166",2001-07-01,4.6,0.56529263027878,3.17
"167",2001-10-01,5.3,0.112676068259088,1.90666666666667
"168",2002-01-01,5.7,0.0562904602536385,1.72333333333333
"169",2002-04-01,5.9,0.896364545048112,1.71666666666667
"170",2002-07-01,5.8,0.389647027912332,1.64333333333333
"171",2002-10-01,5.7,0.664454271866877,1.33333333333333
"172",2003-01-01,5.8,0.769657455198924,1.15666666666667
"173",2003-04-01,6,0.328048407916182,1.04
"174",2003-07-01,6.2,0.272553998104996,0.93
"175",2003-10-01,6,0.651114617199866,0.916666666666667
"176",2004-01-01,5.7,0.754313921446403,0.916666666666667
